num_clients,num_epochs,queue_size_mean,queue_size_max,queue_size_min,latency_mean,latency_max,latency_min,tasks_total,tasks_failed,fail_rate
1,898,0.0,0,0,17.897959183673468,25,11,49,0,0.0
2,1041,0.16666666666666666,1,0,20.77777777777778,44,11,99,0,0.0
3,1205,0.29245283018867924,1,0,23.87248322147651,51,11,149,0,0.0
4,1434,0.29328621908127206,1,0,26.688442211055275,82,11,199,0,0.0
5,1576,0.336,1,0,29.028225806451612,94,11,249,1,0.004016064257028112
6,1662,0.3524229074889868,1,0,30.51877133105802,89,11,299,6,0.020066889632107024
7,1798,0.379746835443038,1,0,33.280701754385966,95,11,349,7,0.02005730659025788
8,1889,0.4062015503875969,1,0,33.66230366492147,90,11,399,17,0.042606516290726815
9,2104,0.42013422818791946,1,0,36.677494199535964,94,11,449,18,0.0400890868596882
10,2224,0.43333333333333335,1,0,39.753684210526316,98,11,499,24,0.04809619238476954
11,2339,0.43969298245614036,1,0,40.745098039215684,98,11,549,39,0.07103825136612021
12,2457,0.44693877551020406,1,0,42.090573012939004,102,12,599,58,0.09682804674457429
13,2516,0.4564198687910028,1,0,43.79447322970639,105,12,649,70,0.10785824345146379
14,2670,0.4583333333333333,1,0,44.51639344262295,105,11,699,89,0.12732474964234622
15,2835,0.45477178423236514,1,0,47.97713414634146,115,12,749,93,0.12416555407209613
16,3020,0.46070878274268107,1,0,51.83834048640916,118,11,799,100,0.1251564455569462
17,3149,0.4638949671772429,1,0,52.90190735694823,124,11,849,115,0.1354534746760895
18,3316,0.4654346338124572,1,0,56.93205128205128,140,11,899,119,0.13236929922135707
19,3473,0.46391076115485563,1,0,58.64950980392157,136,12,949,133,0.14014752370916755
20,3642,0.4646401985111663,1,0,61.614849187935036,140,11,999,137,0.13713713713713713
21,3817,0.4665878178592549,1,0,65.1465038845727,159,11,1049,148,0.14108674928503337
22,4025,0.4653130287648054,1,0,68.76663146779303,164,12,1099,152,0.13830755232029118
23,4206,0.4657312466270912,1,0,70.69362992922143,166,11,1149,160,0.1392515230635335
24,4396,0.4648033126293996,1,0,73.82865440464666,165,14,1199,166,0.13844870725604672
25,4542,0.4651977966950426,1,0,76.04029990627929,170,12,1249,182,0.14571657325860687
26,4763,0.46488294314381273,1,0,80.41733690795353,177,13,1299,180,0.13856812933025403
27,4958,0.4662379421221865,1,0,82.85529715762274,189,13,1349,188,0.13936249073387694
28,5125,0.46684350132625996,1,0,87.14771784232366,188,12,1399,194,0.13867047891350964
29,5303,0.46558358272766137,1,0,90.21297037630104,212,14,1449,200,0.13802622498274672
30,5478,0.4661404237640216,1,0,92.28582554517133,223,12,1499,215,0.14342895263509006
31,5623,0.4673608329995995,1,0,95.359668924003,206,14,1549,220,0.14202711426726922
32,5847,0.46565774155995343,1,0,98.88880813953489,210,11,1599,223,0.13946216385240776
33,5981,0.4665659236871931,1,0,100.91637136782424,223,13,1649,238,0.14432989690721648
34,6116,0.4664454277286136,1,0,102.72060857538035,222,11,1699,253,0.1489111241907004
35,6353,0.4669509594882729,1,0,108.07476635514018,227,13,1749,251,0.14351057747284163
36,6558,0.4664140544264554,1,0,110.67032967032966,236,13,1799,252,0.14007782101167315
37,6779,0.46706586826347307,1,0,115.628125,247,16,1849,249,0.13466738777717685
38,6918,0.46627373935821875,1,0,115.82800982800983,248,11,1899,271,0.14270668773038442
39,7084,0.46504947334822855,1,0,119.98566308243727,259,11,1949,275,0.14109799897383274
